iter	Passed	Remaining
1606	42997	10515
1607	43015	10486
1608	43040	10459
1609	43057	10430
1610	43081	10402
1611	43101	10374
1612	43124	10346
1613	43148	10319
1614	43190	10296
1615	43209	10267
1616	43229	10239
1617	43248	10210
1618	43269	10182
1619	43286	10153
1620	43307	10125
1621	43326	10096
1622	43346	10068
1623	43364	10040
1624	43403	10016
1625	43420	9987
1626	43441	9959
1627	43458	9930
1628	43481	9902
1629	43497	9873
1630	43517	9845
1631	43534	9816
1632	43559	9789
1633	43585	9762
1634	43630	9740
1635	43652	9712
1636	43680	9686
1637	43704	9658
1638	43731	9632
1639	43755	9604
1640	43804	9583
1641	43834	9557
1642	43857	9529
1643	43877	9501
1644	43898	9473
1645	43919	9445
1646	43944	9418
1647	43972	9392
1648	44010	9367
1649	44030	9339
1650	44050	9311
1651	44068	9283
1652	44091	9255
1653	44112	9227
1654	44133	9200
1655	44152	9171
1656	44174	9144
1657	44193	9115
1658	44234	9092
1659	44251	9063
1660	44273	9036
1661	44293	9007
